Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	label
1	Spectrogram 1	1	0.334642511	1.704102631	1295.1	7338.9	HOWA-song-A
2	Spectrogram 1	1	10.231249253	11.750011417	1029.4	7704.2	HOWA-song-A
3	Spectrogram 1	1	12.563450135	14.658827086	1826.4	6475.5	?
4	Spectrogram 1	1	20.758701311	22.231128358	1095.9	7770.6	HOWA-song-A
5	Spectrogram 1	1	31.451678769	33.567649105	1693.6	6741.2	?
6	Spectrogram 1	1	35.101856308	36.620618472	1261.9	7837.0	HOWA-song-A
7	Spectrogram 1	1	42.786224026	44.279244458	1029.4	7272.5	HOWA-song-A
8	Spectrogram 1	1	46.872752689	48.973277987	1527.6	6541.9	?
9	Spectrogram 1	1	51.192215250	52.855131110	1062.7	8634.0	HOWA-song-A
10	Spectrogram 1	1	50.445705034	50.780347544	2590.2	4748.7	HOWA-?
11	Spectrogram 1	1	59.561328265	61.028606965	1261.9	7405.3	HOWA-song-A
12	Spectrogram 1	1	71.344965219	72.755612109	1394.7	7338.9	HOWA-song-A
13	Spectrogram 1	1	82.287837725	83.708781309	1062.7	7770.6	HOWA-song-A
14	Spectrogram 1	1	90.721106892	92.409764484	1261.9	6575.2	?
15	Spectrogram 1	1	93.511510596	94.978789296	1560.8	7471.8	HOWA-song-A
16	Spectrogram 1	1	103.864681960	105.527597821	1162.3	7272.5	HOWA-song-A
17	Spectrogram 1	1	114.348994775	116.542190306	1793.2	6276.3	?
18	Spectrogram 1	1	115.672119779	117.371074063	1427.9	7405.3	HOWA-song-A
